year,doy,pond,site,sampletype,doc_mgl,tn_ugl,tp_ugl,no23_ugl,srp_ugl,nh4_ugl,chloride_mgl,x440,stormnum,timetostorm
2023,187,Strickers,0,C,12.1,4188.717,612.586,NA,NA,NA,NA,0.010957346,5,2
2023,194,Strickers,0,C,9.88,6548.435,483.5,-0.424,6.963,1.279,97.0768,0.00700823,6,1
2023,210,Strickers,9,S,8.939,3829.231,389.6175,5.549,7.216,22.029,NA,0.009573801,7,1
2023,229,Strickers,0,C,7.552,4867.142,683.3105,2.248,8.804,10.419,NA,0.00678272,8,3
2024,130,Strickers,0,S,6.44,2755.641,259.783,4.099,14.449,4.955,61.0039,0.006451679,12,2
2024,148,Strickers,9,V,6.712,1489.03,169.451,5.9495,14.8005,3.7435,26.3348,NA,14,3
2024,157,Strickers,0,C,6.141,2721.782,270.143,5.074,27.204,3.299,22.1378,NA,15,2
2024,176,Strickers,9,S,6.218,2529.64,255.882,5.955,10.895,3.02,17.436,0.009333263,17,3
2024,178,Strickers,0,C,7.126,2013.36,235.643,5.052,12.983,3.207,16.7952,0.007834512,18,2
2024,183,Strickers,9,S,15.48,2433.813,209.74,3.248,7.232,1.799,14.2873,0.011743359,19,3
2024,185,Strickers,9,S,7.422,1831.504,183.573,4.374,8.368,2.7555,9.9079,0.013554284,20,1
2024,207,Strickers,0,C,5.341,4547.507,368.0175,5.013,10.256,2.915,6.6167,0.009999147,23,2
2024,219,Strickers,9,S,6.596,2962.057,375.167,3.586,9.821,3.116,7.2801,0.009416273,24,0
2024,264,Strickers,9,V,13.33,5497.539,498.535,9.65,8.423,8.321,10.5282,NA,26,1
2024,267,Strickers,0,S,7.495,2093.781,188.522,NA,NA,NA,6.3009,0.011953707,27,2
2024,306,Strickers,0,C,8.1315,2472.082,335.552,NA,NA,NA,8.0362,0.015637517,28,2
2023,210,Tiedemans,0,S,10.47,2209.425,378.7325,4.764,2.992,13.075,NA,0.010396902,29,1
2024,130,Tiedemans,0,S,5.827,1320.795,137.375,2.53,13.775,5.374,58.8807,0.007895507,33,2
2024,145,Tiedemans,0,C,8.527,2733.225,248.822,3.7,141.919,3.219,44.8769,0.007306276,34,3
2024,182,Tiedemans,0,V,12.365,5306.318,622.2465,4.853,7.747,1.248,19.0563,NA,37,2
2024,185,Tiedemans,0,S,15.78,2658.869,287.538,4.923,9.534,5.653,13.8126,0.01303703,38,2
